Cartella;Istanza;Clienti;Run;Tempo_Totale_Run;Best_Costo_Della_Run
n100;C104.txt;100;2;356.26739025115967;829.4999999999998
n100;C104.txt;100;3;365.78591871261597;827.2999999999998
n100;C108.txt;100;1;295.47304606437683;827.2999999999979
n100;C108.txt;100;2;287.07858395576477;827.2999999999998
n100;C108.txt;100;3;284.9904553890228;827.2999999999997
n100;C201.txt;100;1;426.0136835575104;589.0999999999997
n100;C201.txt;100;2;422.46990633010864;589.0999999999997
n100;C201.txt;100;3;410.6182291507721;589.0999999999997
n100;C204.txt;100;1;737.7960758209229;596.6999999999997
n100;C204.txt;100;2;803.1541485786438;619.1999999999998
n100;C204.txt;100;3;647.1181871891022;632.0999999999997
n100;C208.txt;100;1;479.99554681777954;585.7999999999995
n100;C208.txt;100;2;511.64695262908936;585.7999999999995
n100;C208.txt;100;3;540.4205896854401;585.7999999999997
n100;R101.txt;100;1;266.3034393787384;1684.1000000000024
n100;R101.txt;100;2;267.0826325416565;1684.1000000000024
n100;R101.txt;100;3;245.00901412963867;1684.1000000000024
n100;R104.txt;100;1;353.1917681694031;997.3999999999995
n100;R104.txt;100;2;349.52788829803467;1013.8999999999996
n100;R104.txt;100;3;359.2712812423706;1002.2999999999995
n100;R108.txt;100;1;363.83282351493835;987.1999999999998
n100;R108.txt;100;2;362.05085468292236;987.1999999999998
n100;R108.txt;100;3;363.2817726135254;975.9999999999998
n100;R201.txt;100;1;361.017085313797;1173.7999999999997
n100;R201.txt;100;2;362.06165194511414;1192.1999999999998
n100;R201.txt;100;3;378.2876682281494;1202.6
n100;R204.txt;100;1;869.5979135036469;745.5999999999999
n100;R204.txt;100;2;928.2410464286804;753.5999999999995
n100;R204.txt;100;3;890.6658005714417;760.0999999999999
n100;R208.txt;100;1;1157.9439208507538;729.6999999999998
n100;R208.txt;100;2;1017.6610014438629;716.3999999999997
n100;R208.txt;100;3;1361.3709251880646;735.7999999999997
n100;RC101.txt;100;1;288.7333390712738;1677.6
n100;RC101.txt;100;2;282.2222411632538;1686.599999999998
n100;RC101.txt;100;3;277.7366678714752;1686.599999999998
n100;RC104.txt;100;1;338.6601662635803;1193.7999999999997
n100;RC104.txt;100;2;338.4330036640167;1219.6999999999998
n100;RC104.txt;100;3;339.37223863601685;1210.7999999999997
n100;RC108.txt;100;1;337.6386044025421;1164.1
n100;RC108.txt;100;2;331.988406419754;1164.1
n100;RC108.txt;100;3;338.7520041465759;1164.1
n100;RC201.txt;100;1;358.3272693157196;1277.1999999999998
n100;RC201.txt;100;2;369.7752866744995;1306.0999999999997
n100;RC201.txt;100;3;355.7616357803345;1318.9999999999973
n100;RC204.txt;100;1;729.430376291275;817.7999999999997
n100;RC204.txt;100;2;803.0745000839233;809.6999999999994
n100;RC204.txt;100;3;814.6570641994476;803.2999999999996
n100;RC208.txt;100;1;682.9888758659363;807.7999999999997
n100;RC208.txt;100;2;627.8356583118439;819.3999999999997
n100;RC208.txt;100;3;562.6612861156464;827.6999999999997
