Cartella;Istanza;Clienti;Run;Tempo_Totale_Run;Best_Costo_Della_Run
n25;C101.txt;25;1;66.04864168167114;191.2999999999998
n25;C101.txt;25;2;37.32740092277527;191.29999999999987
n25;C101.txt;25;3;104.90298867225647;191.29999999999987
n25;C104.txt;25;1;78.63658356666565;186.89999999999992
n25;C104.txt;25;2;65.03831076622009;186.89999999999995
n25;C104.txt;25;3;62.9304404258728;186.89999999999998
n25;C108.txt;25;1;47.08669185638428;191.29999999999993
n25;C108.txt;25;2;45.38257384300232;191.29999999999995
n25;C108.txt;25;3;46.3705837726593;191.29999999999978
n25;C201.txt;25;1;72.2303991317749;214.6999999999998
n25;C201.txt;25;2;71.59590554237366;214.6999999999998
n25;C201.txt;25;3;73.0495400428772;214.6999999999998
n25;C204.txt;25;1;135.98799657821655;214.49999999999986
n25;C204.txt;25;2;136.04734778404236;213.1
n25;C204.txt;25;3;135.72350907325745;213.1
n25;C208.txt;25;1;91.09663677215576;214.49999999999991
n25;C208.txt;25;2;90.43933749198914;214.49999999999983
n25;C208.txt;25;3;87.8460464477539;214.49999999999994
n25;R101.txt;25;1;30.822909593582153;617.0999999999999
n25;R101.txt;25;2;30.782012939453125;617.0999999999998
n25;R101.txt;25;3;30.536487102508545;617.0999999999999
n25;R104.txt;25;1;46.49525308609009;416.89999999999986
n25;R104.txt;25;2;45.80819869041443;416.8999999999997
n25;R104.txt;25;3;46.773170471191406;416.8999999999999
n25;R108.txt;25;1;53.2551052570343;397.29999999999956
n25;R108.txt;25;2;53.47271800041199;397.2999999999997
n25;R108.txt;25;3;53.88707995414734;397.2999999999999
n25;R201.txt;25;1;58.561307191848755;463.29999999999984
n25;R201.txt;25;2;55.326218366622925;463.2999999999998
n25;R201.txt;25;3;53.337440967559814;463.29999999999984
n25;R204.txt;25;1;113.98114657402039;357.4999999999998
n25;R204.txt;25;2;116.60742115974426;355.4
n25;R204.txt;25;3;111.72806215286255;357.4999999999999
n25;R208.txt;25;1;132.61115026474;328.2
n25;R208.txt;25;2;134.9011754989624;328.19999999999993
n25;R208.txt;25;3;137.59915804862976;328.19999999999993
n25;RC101.txt;25;1;41.803497076034546;461.1
n25;RC101.txt;25;2;45.682293176651;461.0999999999999
n25;RC101.txt;25;3;42.16762137413025;462.4999999999999
n25;RC104.txt;25;1;60.982099771499634;306.5999999999998
n25;RC104.txt;25;2;60.04349446296692;306.59999999999974
n25;RC104.txt;25;3;62.40099382400513;306.5999999999998
n25;RC108.txt;25;1;59.855801582336426;294.49999999999994
n25;RC108.txt;25;2;61.147929191589355;294.49999999999994
n25;RC108.txt;25;3;61.70301389694214;294.4999999999999
n25;RC201.txt;25;1;50.48148250579834;360.19999999999993
n25;RC201.txt;25;2;54.490434885025024;360.19999999999993
n25;RC201.txt;25;3;54.32797074317932;360.2
n25;RC204.txt;25;1;122.41682124137878;299.6999999999998
n25;RC204.txt;25;2;109.16765785217285;299.6999999999997
n25;RC204.txt;25;3;116.80629658699036;299.6999999999998
n25;RC208.txt;25;1;112.49121737480164;269.0999999999999
n25;RC208.txt;25;2;120.1582179069519;269.1
n25;RC208.txt;25;3;114.05056953430176;269.09999999999985
n50;C101.txt;50;1;96.0893337726593;362.39999999999975
n50;C101.txt;50;2;94.72690796852112;362.39999999999895
n50;C101.txt;50;3;97.29633522033691;362.39999999999986
n50;C104.txt;50;1;216.74061489105225;357.9999999999999
n50;C104.txt;50;2;217.2150113582611;361.3999999999998
n50;C104.txt;50;3;223.16513872146606;361.3999999999999
n50;C108.txt;50;1;123.76625561714172;362.39999999999986
n50;C108.txt;50;2;119.58733606338501;362.3999999999994
n50;C108.txt;50;3;112.6599326133728;362.3999999999997
n50;C201.txt;50;1;268.73226261138916;360.19999999999993
n50;C201.txt;50;2;260.45969557762146;360.1999999999998
n50;C201.txt;50;3;255.9448857307434;360.19999999999993
n50;C204.txt;50;1;581.2940866947174;350.09999999999985
n50;C204.txt;50;2;533.2955892086029;359.19999999999993
n50;C204.txt;50;3;517.1467659473419;350.0999999999999
n50;C208.txt;50;1;329.55358052253723;350.4999999999999
n50;C208.txt;50;2;306.0889835357666;350.4999999999998
n50;C208.txt;50;3;293.09130930900574;357.49999999999983
n50;R101.txt;50;1;74.43689203262329;1053.6999999999996
n50;R101.txt;50;2;79.62208557128906;1051.3999999999996
n50;R101.txt;50;3;74.96109175682068;1053.4999999999998
n50;R104.txt;50;1;177.44647812843323;632.4999999999999
n50;R104.txt;50;2;160.62508702278137;644.5999999999998
n50;R104.txt;50;3;147.4377784729004;631.1999999999999
n50;R108.txt;50;1;179.71942901611328;628.0999999999998
n50;R108.txt;50;2;172.95435905456543;627.1000000000005
n50;R108.txt;50;3;185.9592683315277;624.0999999999999
n50;R201.txt;50;1;155.37944507598877;814.4999999999998
n50;R201.txt;50;2;161.99357151985168;802.8
n50;R201.txt;50;3;158.799320936203;814.9999999999998
n50;R204.txt;50;1;449.417720079422;510.39999999999975
n50;R204.txt;50;2;478.16246700286865;508.4999999999998
n50;R204.txt;50;3;523.9259445667267;508.59999999999974
n50;R208.txt;50;1;657.9282121658325;497.1999999999996
n50;R208.txt;50;2;614.7727658748627;491.2999999999998
n50;R208.txt;50;3;650.9963984489441;497.3999999999998
n50;RC101.txt;50;1;96.3234691619873;961.3999999999997
n50;RC101.txt;50;2;92.47391986846924;967.3999999999997
n50;RC101.txt;50;3;86.0882339477539;968.1999999999998
n50;RC104.txt;50;1;188.965491771698;546.5000000000001
n50;RC104.txt;50;2;162.3630940914154;547.8000000000003
n50;RC104.txt;50;3;179.55214643478394;555.4999999999998
n50;RC108.txt;50;1;150.4388942718506;601.8999999999951
n50;RC108.txt;50;2;160.5378258228302;601.8999999999951
n50;RC108.txt;50;3;170.52617478370667;601.8999999999951
n50;RC201.txt;50;1;179.64822912216187;684.7999999999998
n50;RC201.txt;50;2;205.16019821166992;684.7999999999998
n50;RC201.txt;50;3;170.0802800655365;684.7999999999997
n50;RC204.txt;50;1;407.05069231987;465.8999999999998
n50;RC204.txt;50;2;378.566401720047;444.1999999999999
n50;RC204.txt;50;3;379.1827714443207;447.59999999999985
n50;RC208.txt;50;1;320.84007477760315;490.59999999999957
n50;RC208.txt;50;2;324.8525207042694;495.09999999999974
n50;RC208.txt;50;3;322.31970286369324;502.7000000000004
n100;C101.txt;100;1;292.33696031570435;827.2999999999992
n100;C101.txt;100;2;294.40493154525757;827.299999999998
n100;C101.txt;100;3;291.6738746166229;827.2999999999982
n100;C104.txt;100;1;364.50836181640625;826.7
n100;C104.txt;100;2;361.4006004333496;823.8999999999997
n100;C104.txt;100;3;361.1760137081146;826.2999999999996
n100;C108.txt;100;1;306.2443919181824;827.2999999999988
n100;C108.txt;100;2;313.08430457115173;827.2999999999998
n100;C108.txt;100;3;320.4660758972168;827.2999999999992
n100;C201.txt;100;1;447.477735042572;589.0999999999997
n100;C201.txt;100;2;452.4304623603821;589.0999999999997
n100;C201.txt;100;3;456.00303745269775;589.0999999999997
n100;C204.txt;100;1;806.8208947181702;588.0999999999997
n100;C204.txt;100;2;832.6551826000214;599.8999999999996
n100;C204.txt;100;3;800.5130577087402;588.6999999999997
n100;C208.txt;100;1;539.2356894016266;585.7999999999996
n100;C208.txt;100;2;543.951354265213;585.7999999999995
n100;C208.txt;100;3;533.9602959156036;585.7999999999995
n100;R101.txt;100;1;261.9799165725708;1747.3999999999996
n100;R101.txt;100;2;247.62129282951355;1721.2999999999997
