Cartella;Istanza;Clienti;Tempo_Min_Intera_Run;Tempo_Medio_Intera_Run;Best_Costo_Assoluto;Metodo_Best_Costo;Costo_Medio_dei_Best_delle_Run;TempoMedio_G1_Neigh1_Insertion;BestCosto_G1_Neigh1_Insertion;TempoMedio_G1_Neigh2_OrOpt;BestCosto_G1_Neigh2_OrOpt;TempoMedio_G1_Neigh3_Swap;BestCosto_G1_Neigh3_Swap;TempoMedio_G2_Neigh1_Insertion;BestCosto_G2_Neigh1_Insertion;TempoMedio_G2_Neigh2_OrOpt;BestCosto_G2_Neigh2_OrOpt;TempoMedio_G2_Neigh3_Swap;BestCosto_G2_Neigh3_Swap;TempoMedio_GRASP_G1;BestCosto_GRASP_G1;TempoMedio_GRASP_G2;BestCosto_GRASP_G2;TempoMedio_Greedy_1;BestCosto_Greedy_1;TempoMedio_Greedy_2;BestCosto_Greedy_2;TempoMedio_Memetic_Algorithm;BestCosto_Memetic_Algorithm;TempoMedio_SA1_on_Neigh1;BestCosto_SA1_on_Neigh1;TempoMedio_SA1_on_Neigh2;BestCosto_SA1_on_Neigh2;TempoMedio_SA1_on_Neigh3;BestCosto_SA1_on_Neigh3;TempoMedio_SA2_on_Neigh1;BestCosto_SA2_on_Neigh1;TempoMedio_SA2_on_Neigh2;BestCosto_SA2_on_Neigh2;TempoMedio_SA2_on_Neigh3;BestCosto_SA2_on_Neigh3;TempoMedio_Tabu_G1;BestCosto_Tabu_G1;TempoMedio_Tabu_G2;BestCosto_Tabu_G2;TempoMedio_VNS_G1;BestCosto_VNS_G1;TempoMedio_VNS_G2;BestCosto_VNS_G2
n100;C101.txt;100;291.6738746166229;292.80525549252826;827.299999999998;GRASP_G1;827.2999999999985;0.14936057726542154;927.0000000000003;0.0016889572143554688;1931.5000000000002;0.0007166067759195963;1931.5000000000002;0.14623657862345377;1067.6000000000006;0.0014282067616780598;1721.9;0.0006128946940104166;1721.9;60.214626232783;827.299999999998;56.60125231742859;827.2999999999992;0.0038071473439534507;1931.5000000000002;0.9087401231129965;1721.9;37.0221745967865;827.2999999999997;2.922140916188558;865.7;2.9714443683624268;1931.5000000000002;3.1704747676849365;1015.4000000000001;2.988925298055013;1004.0;3.1500991185506186;860.1000000000001;3.1425313154856362;1067.6;60.010127464930214;827.3000000000004;58.55646896362305;860.1000000000007;0.39075231552124023;927.0;0.45161914825439453;1067.6
n100;C104.txt;100;361.1760137081146;362.3616586526235;823.8999999999997;Memetic_Algorithm;825.6333333333332;0.6751783688863119;1195.000000000001;0.02213605244954427;1673.4999999999998;0.01627492904663086;1679.0000000000002;0.4096488157908122;1066.0000000000002;0.003746668497721354;1718.9;0.0037101109822591147;1717.8;60.50854198137919;897.2000000000011;60.48737692832947;925.6999999999983;0.005065441131591797;1699.9;1.325130780537923;1722.0;60.439015785853066;823.8999999999997;9.556986014048258;1195.0;9.308443705240885;1163.3000000000002;9.27750539779663;1041.6;8.260997772216797;1062.8999999999999;8.709490378697714;1025.5;10.297896226247152;1035.3999999999999;60.01001731554667;1130.8000000000006;60.01576805114746;1021.3;1.3064895470937092;1192.4;1.7221895853678386;1049.4999999999998
n100;C108.txt;100;306.2443919181824;313.2649241288503;827.2999999999988;GRASP_G2;827.2999999999993;0.29903483390808105;1208.8999999999996;0.003297567367553711;2099.6000000000004;0.0024596055348714194;2098.2;0.2718048890431722;1097.5000000000005;0.0015575091044108074;1728.1;0.0016255378723144531;1727.6;60.34153175354004;827.3000000000005;60.12401111920675;827.2999999999988;0.004904270172119141;2101.0;1.0293883482615154;1728.1;46.839377323786415;827.2999999999992;3.701568365097046;1208.8999999999996;3.790004014968872;1144.2;3.8624255657196045;1111.0;3.9032012621561685;1028.8999999999999;3.912102222442627;1099.6;3.8912765979766846;972.3;60.01002645492554;1131.5999999999997;60.007543404897056;957.4000000000007;0.647181510925293;1208.8999999999996;0.620573361714681;1064.9000000000003
n100;C201.txt;100;447.477735042572;451.9704116185506;589.0999999999997;Memetic_Algorithm;589.0999999999997;0.5685404141743978;809.2999999999998;0.006443500518798828;1877.2999999999997;0.0024117628733317056;1877.2999999999997;0.36897047360738117;853.8999999999991;0.0020917256673177085;1634.4;0.0008822282155354818;1634.4;60.309653520584106;713.1999999999983;60.43619624773661;707.3000000000009;0.004355907440185547;1877.2999999999997;0.9241183598836263;1634.4;180.23878439267477;589.0999999999997;4.326788266499837;766.2;4.441923300425212;809.3000000000001;4.768021583557129;809.3000000000001;4.54898730913798;788.5;4.187923590342204;853.9;4.63178563117981;788.5;60.027668952941895;774.4999999999999;60.02987798055013;853.8999999999991;1.1570545832316081;809.2999999999998;0.9879028002421061;788.4999999999999
n100;C204.txt;100;800.5130577087402;813.3297116756439;588.0999999999997;Memetic_Algorithm;592.233333333333;1.9503342310587566;966.4999999999993;0.10525973637898763;1429.2000000000003;0.04975128173828125;1426.1000000000001;1.2040011088053386;846.8999999999993;0.008936643600463867;1634.0;0.008514881134033203;1631.6999999999998;61.89100790023804;728.0000000000003;60.98876015345255;687.5999999999988;0.0038235982259114585;1443.4;1.3912649154663086;1657.0;308.7467717329661;588.0999999999997;43.22158646583557;926.0;55.39044547080994;782.5;35.34858616193136;804.7;30.779651085535686;748.9000000000001;39.14117431640625;728.9;32.15379079182943;841.1999999999999;60.0718580087026;891.5999999999996;60.02592523892721;839.3999999999991;16.54733657836914;909.6000000000001;4.300901969273885;785.1999999999999
n100;C208.txt;100;533.9602959156036;539.0491131941477;585.7999999999995;Memetic_Algorithm;585.7999999999995;1.1025172869364421;929.5999999999997;0.052338759104410805;1135.6;0.042952378590901695;1124.3;0.9243458112080892;784.1999999999987;0.004116535186767578;1635.0;0.0017731189727783203;1635.0;61.45161771774292;756.5999999999999;61.60155908266703;723.9000000000009;0.004891633987426758;1142.4999999999998;1.164711554845174;1635.0;238.637855052948;585.7999999999995;7.148796717325847;856.3;10.651960055033365;860.0;9.077529191970825;869.4;6.11982528368632;784.1999999999987;7.217498381932576;783.8999999999999;7.7270348072052;784.1999999999999;60.07664179801941;874.6999999999997;60.02629152933756;783.9999999999989;3.751075029373169;895.4999999999998;2.263747215270996;784.1999999999987
n100;R101.txt;100;247.62129282951355;255.52809945742288;1695.5;Memetic_Algorithm;1721.3999999999996;0.05646618207295736;1911.200000000001;0.0009063879648844401;2215.8999999999996;0.00042096773783365887;2215.8999999999996;0.05184618631998698;1824.5;0.0008452733357747396;1885.8;0.00039704640706380207;1885.8;38.451643228530884;1766.6000000000013;49.1565728187561;1768.9000000000012;0.015151103337605795;2215.8999999999996;0.7551984786987305;1885.8;26.774819533030193;1695.5;3.034142096837362;1911.200000000001;3.2861227989196777;2215.8999999999996;3.316789229710897;1890.6000000000001;3.2319466272989907;1824.5;3.2310667832692466;1885.8;3.247391859690348;1885.8;60.01517097155253;1890.600000000001;60.008723656336464;1757.0;0.4567931493123372;1911.200000000001;0.4356559117635091;1824.5
n100;R104.txt;100;346.19084572792053;349.17690841356915;1027.3999999999996;Memetic_Algorithm;1032.3333333333328;0.5088090101877848;1155.0000000000011;0.009127298990885416;1495.1999999999998;0.01087037722269694;1477.1999999999998;0.4927679697672526;1138.8000000000002;0.002147118250528971;1591.2;0.001224835713704427;1591.2;60.189016024271645;1061.799999999999;60.244641383488975;1071.8;0.0033429463704427085;1514.1999999999998;1.1696353753407795;1591.2;64.82896415392558;1027.3999999999996;6.586308876673381;1155.0;6.958855311075847;1130.1;7.0981645584106445;1114.3000000000002;6.001986821492513;1136.6;6.081822633743286;1129.6999999999998;6.6791510581970215;1131.5;60.02181283632914;1153.7000000000014;60.02366805076599;1117.5;1.1389026641845703;1154.9999999999998;1.1256615320841472;1132.4999999999998
n100;R108.txt;100;355.82855677604675;358.05518023173016;975.0;Memetic_Algorithm;977.4999999999997;0.782374382019043;1076.4000000000003;0.018249909083048504;1472.0999999999997;0.009776433308919271;1478.1999999999998;0.6327846844991049;1020.0999999999999;0.0020445982615152993;1608.5;0.0011679331461588542;1608.5;60.483685652414955;1005.0999999999996;60.35918013254801;1020.0999999999999;0.0043926239013671875;1500.6;1.2610351244608562;1608.5;69.07039459546407;975.0;6.432762463887532;1074.8000000000002;7.3278664747873945;1088.5;6.774950663248698;1130.3;7.092081546783447;1020.0999999999999;7.886123577753703;1022.8000000000001;7.468567609786987;1020.0999999999999;60.02222752571106;1056.2000000000003;60.02134974797567;1006.3999999999997;1.381401538848877;1032.8999999999996;1.022734562555949;1018.7999999999998
n100;R201.txt;100;348.63686442375183;371.66606307029724;1167.1999999999998;Memetic_Algorithm;1184.0999999999997;0.5504719416300455;1402.3000000000006;0.010750850041707357;1944.8;0.006590366363525391;1948.6000000000001;0.36256980895996094;1314.8999999999999;0.001420736312866211;1656.8;0.0011806488037109375;1649.6;60.3138100306193;1259.7000000000007;60.38656481107076;1246.300000000001;0.004481077194213867;1980.1000000000001;1.0630624294281006;1656.8;95.15717260042827;1167.1999999999998;5.400596936543782;1400.9;5.965962489446004;1414.4;6.148129304250081;1344.3;4.7032084465026855;1289.7;4.732611338297526;1314.9;4.64618460337321;1649.6;60.03544569015503;1396.5000000000007;60.017136017481484;1314.8999999999999;1.3979364236195881;1402.3;0.7607473532358805;1314.8999999999999
